x,y,speed,heading,fix_quality
831506.668280978,1644221.003470662,0.970432,344.25,5
831506.368306091,1644221.922366145,0.957582,346.44,5
831506.085774931,1644222.878423552,0.9694039999999999,345.7,5
831505.803498363,1644223.816023808,0.99716,344.04,5
831505.503014366,1644224.771833589,0.978656,344.38,5
831505.238181538,1644225.746595767,1.005384,347.24,5
831505.026698162,1644226.759015114,1.021832,346.67,5
831504.761865357,1644227.733777290,0.982768,345.64,4
831504.496777986,1644228.726996615,1.011038,347.29,4
831504.303756657,1644229.702749284,0.98945,347.04,5
831504.075084196,1644230.659549556,0.985338,348.31,4
831503.828713457,1644231.597645056,0.944218,346.61,4
831503.600804749,1644232.499073879,0.9580960000000001,347.23,4
831503.408292617,1644233.437912247,0.980198,350.3,4
831503.287082767,1644234.414655406,0.9987020000000001,355.72,4
831503.201524057,1644235.410350960,0.9904780000000001,357.48,4
831503.170078499,1644236.388332236,0.9863660000000001,0.31,4
831503.210189786,1644237.385761156,0.9935620000000001,3.62,4
831503.286461347,1644238.365228177,1.011038,6.06,4
831503.416591462,1644239.345438073,0.9766,11.35,4
831503.582372690,1644240.344600369,1.0213180000000002,11.42,4
831503.820474473,1644241.307838873,0.989964,12.75,5
831504.022670519,1644242.270582132,0.9591240000000001,14.46,5
831504.242819394,1644243.233573022,0.96375,16.2,5
831504.499128530,1644244.178602021,1.000244,15.14,5
831504.755183056,1644245.142088176,0.968376,14.21,5
831505.010982970,1644246.124031489,0.983282,12.74,5
831505.429376841,1644247.034374852,0.9586100000000001,13.73,5
831505.667478426,1644247.997613406,0.90464,13.43,4
831505.870183452,1644248.923442412,0.930854,15.46,4
831506.053917274,1644249.922852394,0.8989860000000001,15.04,4
831506.364848505,1644250.813252881,0.942162,10.53,4
831506.548582276,1644251.812662876,0.95347,15.87,5
831506.714617758,1644252.793368096,0.9945900000000001,9.49,5
831506.935020926,1644253.737901909,0.9144059999999999,14.66,5
831507.174395256,1644254.608854759,0.886136,15.03,5
831507.653275655,1644257.643008602,0.9591240000000001,10.23,5
831507.837263846,1644258.623961482,0.991506,12.03,5
831508.021252007,1644259.604914368,0.948844,12.86,5
831508.169843642,1644260.548457696,0.949358,7.21,5
831508.335878921,1644261.529162961,0.942162,10.99,5
831508.520121605,1644262.491658710,0.964778,12.14,5
831508.722826281,1644263.417487797,0.919546,12.72,5
831508.907578096,1644264.343069257,0.88922,7.63,5
831508.839717225,1644265.357469621,0.8969300000000001,12.04,5
831509.007025346,1644266.245889154,0.918004,9.57,4
831509.102267511,1644267.151775311,0.926228,10.3,4
831509.269066417,1644268.077109152,0.8989860000000001,10.35,4
831509.382515975,1644268.964785797,0.8835660000000001,7.03,4
831509.514172941,1644269.834252929,0.893332,8.89,4
831509.681480968,1644270.722672480,0.867632,5.78,4
831509.794930478,1644271.610349135,0.873286,10.61,4
831509.926332804,1644272.498273426,0.8953880000000001,9.48,4
831510.075687946,1644273.386445355,0.8871640000000001,10.17,4
831510.207344828,1644274.255912503,0.901042,8.48,5
831510.302586854,1644275.161798685,0.8475860000000001,5.91,4
