x,y,speed,heading,fix_quality
661600.735059650,1509918.997938402,0.79156,83.93,4
661601.563557985,1509919.150545665,0.846558,81.41,4
661602.392169827,1509919.284715361,0.8558100000000001,79.21,4
661603.202297021,1509919.492524447,0.839876,78.19,4
661604.066742963,1509919.663791412,0.85838,81.46,4
661604.913271846,1509919.816509798,0.839876,82.8,4
661605.777717773,1509919.987776821,0.871744,79.19,4
661606.624246639,1509920.140495264,0.893332,80.65,4
661607.488919597,1509920.274887158,0.8738,81.31,4
661608.335561969,1509920.409168065,0.876884,83.54,4
661609.218151967,1509920.562108628,0.854782,82.06,5
661610.064907852,1509920.677951997,0.8845940000000001,82.15,5
661610.911890783,1509920.756920206,0.853754,83.74,5
661611.776336665,1509920.928187434,0.845016,86.37,5
661612.623092534,1509921.044030888,0.84039,80.84,5
661613.469961930,1509921.141436777,0.834222,85.77,5
661614.298914271,1509921.220294078,0.8285680000000001,85.14,5
661615.146010716,1509921.280824832,0.8337080000000001,85.68,5
661615.975190107,1509921.322806997,0.8224,86.02,5
661616.804596558,1509921.327913999,0.8162320000000001,88.4,5
661617.669610046,1509921.406993452,0.818802,86.68,5
661618.516592958,1509921.485961912,0.8224,88.46,5
661619.345885881,1509921.509506590,0.820858,85.71,5
661620.175065274,1509921.551488889,0.826512,91.02,5
661621.022161715,1509921.612019836,0.834736,89.4,5
661621.851568171,1509921.617126998,0.83525,88.55,5
661622.680634037,1509921.677546972,0.817774,87.73,5
661623.492123456,1509921.664105566,0.8599220000000001,82.2,5
661624.321302852,1509921.706087997,0.840904,86.25,5
661625.132451676,1509921.747959427,0.8198300000000001,87.77,5
661625.907766419,1509921.752733635,0.7838499999999999,86.54,5
661626.755316998,1509921.739514386,0.838334,94.5,5
661627.584837004,1509921.726184134,0.83782,77.84,5
661628.269771807,1509921.767278456,0.815718,82.4,5
661639.575056472,1509921.818459092,0.8198300000000001,79.91,5
661640.423629010,1509921.639301915,0.785392,86.13,5
661641.235572684,1509921.552110669,0.7715139999999999,88.1,5
661642.010887481,1509921.556885351,0.819316,80.89,5
661642.822036340,1509921.598757331,0.836792,76.53,5
661643.651329322,1509921.622302779,0.853754,77.09,5
661644.480508763,1509921.664285851,0.84039,86.73,5
661645.309915294,1509921.669393755,0.84553,89.21,5
661646.157125313,1509921.711487921,0.8599220000000001,87.78,5
661646.986418299,1509921.735033475,0.839876,86.71,5
661647.833628316,1509921.777127697,0.811606,89.11,5
661648.680951886,1509921.800784348,0.82497,83.83,5
661649.492327852,1509921.805781341,0.806466,86.61,5
